prospectno,FDD,MAXDPD24M,max_DPD_LFT,Total_Payments,TGT
702297,28FEB2015,25,25,>24 Payment,0
704113,05JAN2015,25,25,>24 Payment,0
713375,30APR2015,0,,>24 Payment,0
713954,31JAN2015,0,,>24 Payment,0
714473,05FEB2015,0,,>24 Payment,0
714847,31JAN2015,0,,>24 Payment,0
714920,30JAN2015,17,17,>24 Payment,0
715195,24JAN2015,16,16,>24 Payment,0
715234,31JAN2015,31,31,19-24 Payment,0
715265,10JAN2015,0,,>24 Payment,0
715289,20JAN2015,62,62,>24 Payment,1
715309,22JAN2015,0,,>24 Payment,0
715488,19JAN2015,116,116,13-15 Payment,1
715503,22JAN2015,0,,>24 Payment,0
715557,28FEB2015,0,,>24 Payment,0
715575,31JAN2015,0,84,>24 Payment,0
715589,16JAN2015,31,31,>24 Payment,0
715611,07JAN2015,0,,>24 Payment,0
715615,31JAN2015,0,,>24 Payment,0
715860,28FEB2015,0,,>24 Payment,0
715894,21JAN2015,0,,>24 Payment,0
715908,20MAR2015,0,,>24 Payment,0
715910,28FEB2015,0,,>24 Payment,0
715912,13JAN2015,0,,>24 Payment,0
715933,31JAN2015,0,,>24 Payment,0
715993,29JAN2015,642,823,>24 Payment,1
716001,31JAN2015,0,,>24 Payment,0
716029,04FEB2015,78,78,19-24 Payment,1
716109,28JAN2015,0,,>24 Payment,0
716115,19FEB2015,27,27,>24 Payment,0
716134,23APR2015,0,,>24 Payment,0
716229,24JAN2015,0,,>24 Payment,0
716246,09JAN2015,31,31,>24 Payment,0
716268,27AUG2015,0,,>24 Payment,0
716377,28FEB2015,0,,>24 Payment,0
716391,13JAN2015,0,,>24 Payment,0
716412,31JAN2015,0,,>24 Payment,0
716434,09JAN2015,0,83,>24 Payment,0
716459,20JAN2015,48,78,>24 Payment,0
716460,28FEB2015,0,,>24 Payment,0
716522,13FEB2015,0,,>24 Payment,0
716559,31JAN2015,0,,>24 Payment,0
716571,05JAN2015,0,,>24 Payment,0
716615,31JAN2015,0,,>24 Payment,0
716652,29JAN2015,26,88,>24 Payment,0
716655,28FEB2015,0,,>24 Payment,0
716726,09JAN2015,0,,>24 Payment,0
716745,22JAN2015,0,,>24 Payment,0
716761,21MAR2015,0,,>24 Payment,0
716781,31JAN2015,0,25,>24 Payment,0
716818,17JAN2015,0,,>24 Payment,0
716838,31JAN2015,0,,>24 Payment,0
716844,31JAN2015,0,,>24 Payment,0
716846,04FEB2015,0,,>24 Payment,0
716860,06JAN2015,0,,>24 Payment,0
716865,28FEB2015,57,57,>24 Payment,0
716934,31JAN2015,0,,>24 Payment,0
716960,31JAN2015,0,,>24 Payment,0
717007,19JAN2015,0,,>24 Payment,0
717008,28FEB2015,0,,>24 Payment,0
717014,20JAN2015,0,,>24 Payment,0
717015,22JAN2015,0,,>24 Payment,0
717021,07JAN2015,25,25,>24 Payment,0
717042,28FEB2015,61,61,>24 Payment,1
717044,31JAN2015,0,,>24 Payment,0
